# Re(z) Im(z)
-10.203261 11.561147
-10.089343 11.595583
-9.975089 11.628322
-9.860529 11.659358
-9.745691 11.688685
-9.630602 11.716298
-9.515292 11.742192
-9.399788 11.766363
-9.284118 11.788808
-9.168311 11.809524
-9.052394 11.828509
-8.936395 11.845760
-8.820342 11.861278
-8.704263 11.875061
-8.588185 11.887109
-8.472136 11.897423
-8.356143 11.906005
-8.240232 11.912857
-8.124432 11.917980
-8.008768 11.921379
-7.893269 11.923057
-7.777959 11.923018
-7.662866 11.921268
-7.548015 11.917812
-7.433432 11.912656
-7.319144 11.905808
-7.205176 11.897275
-7.091552 11.887065
-6.978298 11.875187
-6.865439 11.861650
-6.752999 11.846465
-6.641003 11.829642
-6.529474 11.811192
-6.418436 11.791128
-6.307913 11.769461
-6.197928 11.746206
-6.088503 11.721376
-5.979661 11.694985
-5.871424 11.667049
-5.763815 11.637582
-5.656854 11.606602
-5.550564 11.574124
-5.444964 11.540168
-5.340075 11.504749
-5.235918 11.467888
-5.132512 11.429602
-5.029877 11.389913
-4.928032 11.348839
-4.826995 11.306403
-4.726785 11.262625
-4.627420 11.217528
-4.528917 11.171133
-4.431293 11.123464
-4.334565 11.074544
-4.238749 11.024398
-4.143861 10.973049
-4.049917 10.920524
-3.956931 10.866847
-3.864918 10.812044
-3.773891 10.756142
-3.683866 10.699168
-3.594855 10.641149
-3.506870 10.582113
-3.419924 10.522088
-3.334030 10.461103
-3.249197 10.399187
-3.165438 10.336369
-3.082762 10.272679
-3.001180 10.208147
-2.920700 10.142804
-2.841333 10.076680
-2.763087 10.009807
-2.685970 9.942216
-2.609988 9.873939
-2.535151 9.805009
-2.461463 9.735457
-2.388931 9.665316
-2.317561 9.594620
-2.247358 9.523400
-2.178327 9.451691
-2.110471 9.379526
-2.043794 9.306939
-1.978300 9.233964
-1.913991 9.160635
-1.850870 9.086986
-1.788937 9.013051
-1.728195 8.938866
-1.668643 8.864464
-1.610283 8.789880
-1.553113 8.715149
-1.497133 8.640307
-1.442341 8.565387
-1.388737 8.490425
-1.336317 8.415455
-1.285079 8.340513
-1.235019 8.265633
-1.186134 8.190851
-1.138420 8.116201
-1.091872 8.041717
-1.046484 7.967435
-1.002252 7.893389
-0.959168 7.819614
-0.917227 7.746143
-0.876422 7.673012
-0.836744 7.600254
-0.798186 7.527902
-0.760740 7.455991
-0.724397 7.384554
-0.689147 7.313625
-0.654980 7.243236
-0.621887 7.173420
-0.589857 7.104209
-0.558878 7.035636
-0.528940 6.967733
-0.500030 6.900531
-0.472136 6.834062
-0.445245 6.768357
-0.419345 6.703445
-0.394422 6.639358
-0.370461 6.576125
-0.347449 6.513775
-0.325371 6.452338
-0.304211 6.391843
-0.283955 6.332317
-0.264587 6.273788
-0.246090 6.216284
-0.228448 6.159830
-0.211645 6.104455
-0.195663 6.050183
-0.180484 5.997039
-0.166091 5.945049
-0.152465 5.894236
-0.139589 5.844625
-0.127444 5.796238
-0.116010 5.749098
-0.105269 5.703227
-0.095200 5.658647
-0.085784 5.615378
-0.077001 5.573440
-0.068830 5.532853
-0.061252 5.493636
-0.054244 5.455807
-0.047786 5.419384
-0.041858 5.384383
-0.036436 5.350822
-0.031501 5.318716
-0.027029 5.288079
-0.022998 5.258926
-0.019388 5.231271
-0.016174 5.205127
-0.013335 5.180505
-0.010848 5.157418
-0.008690 5.135876
-0.006839 5.115889
-0.005270 5.097466
-0.003961 5.080616
-0.002889 5.065348
-0.002029 5.051667
-0.001360 5.039581
-0.000857 5.029094
-0.000496 5.020213
-0.000254 5.012941
-0.000107 5.007281
-0.000032 5.003237
-0.000004 5.000809
